TeamId,TeamName,SubmissionDate,Score
5919756,penggagas_acara,"2020-11-28 06:46:13",0.82620
5919772,PSP,"2020-11-28 06:27:12",0.69109
5919778,"Category for Life","2020-11-28 06:41:50",0.88322
5919828,Jabodetabek,"2020-11-28 05:57:00",0.79213
5919836,"Mr. Overfitting","2020-11-28 05:32:26",0.75987
5919851,"Pesimis Positif","2020-11-28 06:58:49",0.83377
5919876,Kuning,"2020-11-28 06:43:07",0.76261
5919891,"Raudhatul Jannah","2020-11-28 06:56:34",0.39142
5919892,SamsanTech,"2020-11-28 06:55:25",0.67285
5919895,HiyaHiya,"2020-11-28 05:35:47",0.88153
5919898,"Permisi Nggih","2020-11-28 06:47:05",0.78130
5919901,"Gelora Sigma","2020-11-28 04:51:05",0.81022
5919908,ALYFE,"2020-11-28 06:38:25",0.75866
5919916,"Kampus ruko","2020-11-28 06:26:41",0.84733
5919926,"Semoga Diterima Shopee","2020-11-28 06:31:01",0.76223
5919931,[Deleted],"2020-11-28 06:25:00",0.85385
5919935,Goabelakang,"2020-11-28 06:52:29",0.68694
5919955,"Data Slave","2020-11-28 06:49:50",0.48839
5919958,"Nama Tim","2020-11-28 05:40:45",0.47045
5919961,Nightrider,"2020-11-28 06:44:59",0.41068
5919976,Methodologist,"2020-11-28 06:08:33",0.80018
5919980,"Sydha dkk minus Mae","2020-11-28 06:11:05",0.83676
5920001,Talam,"2020-11-28 06:42:49",0.82740
5920007,"Tatag Team","2020-11-28 05:49:14",0.81525
5920022,HAF,"2020-11-28 06:59:06",0.61347
5920070,"The Sams","2020-11-28 06:36:10",0.60960
5920104,SapSapSap,"2020-11-28 06:57:23",0.73422
5920146,Maldini,"2020-11-28 05:43:26",0.68599
5920199,FIT,"2020-11-28 06:29:52",0.76364
5920206,"tim korting","2020-11-28 06:44:53",0.85852
5920210,Anomaly,"2020-11-28 06:53:37",0.75571
5920232,ArpoBot,"2020-11-28 06:09:48",0.42423
5920239,ARIF,"2020-11-28 06:42:21",0.63140
5920261,happy-happy,"2020-11-28 06:56:02",0.63773
5920288,Freedom,"2020-11-28 06:52:02",0.69029
5920290,fstsi-agussa,"2020-11-28 05:10:49",0.43388
5920301,"Serikat Karyawan","2020-11-28 06:54:01",0.49513
5920307,[Deleted],"2020-11-28 04:46:36",0.83614
5920325,ds_team,"2020-11-28 06:44:48",0.45878
5920330,BDG26,"2020-11-28 05:43:08",0.83155
5920331,kurpy,"2020-11-28 06:59:42",0.65992
5920357,NDS,"2020-11-28 06:22:13",0.70693
5920362,"three dots","2020-11-28 06:48:26",0.44570
5920364,"Prefrontal Cortex","2020-11-28 04:59:11",0.81842
5920375,Hiku,"2020-11-28 05:48:21",0.84886
5920409,AIA_IMDA,"2020-11-28 06:04:27",0.88213
5920465,Rahatrini,"2020-11-28 06:50:06",0.74480
5920475,"Acep Code","2020-11-28 06:28:25",0.57599
5920483,Merlin,"2020-11-28 05:39:24",0.73034
5920493,"The Breezeee","2020-11-28 06:58:29",0.37660
5920506,NamaTimnyaApa,"2020-11-28 05:19:24",0.72636
5920527,"Pahala Kencana","2020-11-28 06:59:17",0.82622
5920545,Quokka,"2020-11-28 06:48:27",0.60261
5920553,"Datascience is Cute kitten","2020-11-28 05:58:42",0.80371
5920585,"Delft Juara","2020-11-28 06:48:35",0.53068
5920622,"ice tea path","2020-11-28 05:34:33",0.60905
5920673,Synchronous,"2020-11-28 06:56:03",0.36268
5920712,PelajarHsinchu,"2020-11-28 06:56:53",0.86322
5920907,justalogic,"2020-11-28 05:23:18",0.79431
5920931,"Jam's team","2020-11-28 04:44:18",0.67949
5920950,"Qee DS","2020-11-28 06:04:05",0.68780
5920955,"Black Patch","2020-11-28 06:53:58",0.81290
5921004,YTFW,"2020-11-28 06:59:08",0.51648
5921009,goyang_shopee,"2020-11-28 06:41:58",0.48807
5921010,ex-rekankerja,"2020-11-28 05:38:37",0.62165
5921046,Leap,"2020-11-28 06:57:59",0.49582
5921078,P2,"2020-11-28 06:48:56",0.83022
5921083,Lobaloba,"2020-11-28 06:48:56",0.91160
5921090,"Quiet Wire","2020-11-28 06:37:41",0.66526
5921118,FisherMan,"2020-11-28 06:46:47",0.82132
5921119,"Cari Cuan","2020-11-28 05:09:05",0.48312
5921130,KarbangJaya,"2020-11-28 06:58:53",0.85954
5921142,"Bekas Petani","2020-11-28 06:29:19",0.59642
5921154,"Alpha Therapy","2020-11-28 06:53:01",0.57210
5921177,Hia,"2020-11-28 06:53:38",0.54203
5921331,AkuariumRudis,"2020-11-28 06:57:44",0.76235
5921365,"Rerum Novarum","2020-11-28 06:20:19",0.82469
5921373,"SLO Team","2020-11-28 06:57:38",0.57715
5921384,"CAC Team","2020-11-28 06:48:58",0.48904
5921388,"Tim PULU","2020-11-28 06:52:20",0.54860
5921581,Samsamtech,"2020-11-28 06:36:48",0.48597
5921656,"Industri Hiburan","2020-11-28 05:09:47",0.78221
5921674,Eightfinity,"2020-11-28 05:37:56",0.79844
5921742,J4V4,"2020-11-28 05:31:59",0.80500
5921767,FreeMeal,"2020-11-28 04:45:25",0.80054
5921918,HackScience!,"2020-11-28 06:43:09",0.66255
5921940,"Ensemble Team","2020-11-28 06:51:49",0.49353
5921957,DOVE,"2020-11-28 06:37:39",0.53078
5921961,tipingpoint,"2020-11-28 06:29:47",0.83588
5922085,AImagine,"2020-11-28 06:38:36",0.82359
5922102,Fibonacci,"2020-11-28 05:37:23",0.48469
5922197,black_coffee,"2020-11-28 05:48:13",0.68179
5922266,"Air Wudhu","2020-11-28 06:10:04",0.83484
5922314,SCV,"2020-11-28 05:17:58",0.87219
5922334,CILUKBA,"2020-11-28 06:58:38",0.47966
5922423,exMIPA,"2020-11-28 06:26:47",0.49568
5922448,omega707,"2020-11-28 05:04:53",0.71420
5922460,"Posthink R&D","2020-11-28 06:50:02",0.79982
5922499,"Double D","2020-11-28 06:54:40",0.78010
5922523,dream_height,"2020-11-28 05:04:43",0.49264
5922529,TWC101,"2020-11-28 06:58:53",0.35855
5922580,Numerik,"2020-11-28 05:50:46",0.50132
5922629,F2RA,"2020-11-28 06:52:31",0.59274
5922636,TahuBulat,"2020-11-28 05:23:58",0.74518
5922752,"Kambing Unlimited","2020-11-28 06:58:40",0.69837
5922821,"Tim Occult","2020-11-28 06:55:52",0.49255
5922887,SENKA,"2020-11-28 06:55:39",0.49045
5922916,Babay,"2020-11-28 06:51:59",0.85543
5923056,"Pejuang Sertifikat","2020-11-28 06:21:16",0.69722
5923230,"x bank","2020-11-28 06:30:10",0.55243
5923260,"Sikat Miring","2020-11-28 06:17:21",0.85188
5923332,NaNtools,"2020-11-28 06:51:24",0.49074
5923424,"Yohanes Alfredo","2020-11-28 06:55:21",0.75196
5923456,"Null Value","2020-11-28 06:43:48",0.79189
5923502,Kundalini,"2020-11-28 04:30:05",0.52729
5923521,"ZEN ROBUST","2020-11-28 06:51:12",0.49537
5923525,TDR-MACHINE,"2020-11-28 05:03:46",0.77283
5923533,[Deleted],"2020-11-28 05:43:43",0.85274
5923576,Danang,"2020-11-28 06:14:03",0.46551
