,title_1,image_1,title_2,image_2,Label
0,Johnson’s ® Top to Toe Hair & Body Bath 500ml,fdff8b9b8229da091dd7d070aae05f81.jpg,Johnson's cottontouch top to toe hair & body baby bath 500 ml,41e191742760932598c7bd201e5dad47.jpg,0
1,Sandal Humble,906cc44f0be72d4e767669b5b63e3a17.jpg,Sandal Humble Glass - Glanzton,7a556b836bfdd08ea592216440524a34.jpg,0
2,PROMO LIKUID LIKUIT LIQUIT BABY POD LIQUID SALT POD 15ML 10RASA,475c26635de18b9f93032400732ff336.jpg,Voporizer Liquit - Likuit - Likuid - Liquid Premium Berry Banana Mochi 60ML 3MG - Bananalicious,ace93bec689f3f1565800c500a8341fa.jpg,0
3,6 Pasang / Set Anting Tusuk Bentuk Lingkaran Aksen Mutiara + Rumbai Gaya Bohemian untuk Wanita,e630997f6217555d6026547ad1c15f0b.jpg,Subei 6 Pasang / Set Anting Tusuk Boho Bohemia Desain Geometri Hias Kristal / Rumbai untuk Wanita,31abbc176b09f5bd1728cfc3ecbbfb9c.jpg,0
4,ROREC NATURAL SKIN CARE MASK ROREC SHEET MASK MASKER WAJAH MASK SHEET MASKER TOPENG SKINCARE,a27d11700a7902febd039dc3a96f10f2.jpg,Rorec 86 Natural Skin Care Shert Mask All Variant,813ad9dd638c10f1765db9dde20c9e42.jpg,1
5,rokok elektrik evod 1100mAh,9c544fee253272cd267c3eed1bb6772c.jpg,rokok elektric evod 1100mah,e7df08a6cd14701c0580b782dee7c542.jpg,1
6,HIJAB INSTAN / JILBAB SERUT JOKOWI ADIBA,3116449c140e69cf9f241282f90f0713.jpg,JILBAB SERUT ADIBA JOKOWI POLOS (1KG=10PCS) / JILBAB INSTAN,5c0387628500e48a46533df48c11f0ee.jpg,1
7,Hijab bergo 1 layer tali nonpet hijab instant diamond strecht,64d2c3bf0946a3cb5ada52690a62facf.jpg,Khimar tali belakang,926f103890c3ec25962a1186c955464f.jpg,0
8,Korea 2019 Versi Korea Dari Musim Gugur Baru Sastra Retro Peas Sepatu Wanita Fila Perempuan New Year,f6e7ef0dc3a6f8f6d3b8c6f950c30d7f.jpg,Korea 2019 Versi Korea Dari Musim Gugur Baru Sastra Retro Peas Sepatu Wanita Fila Perempuan New Year,6dd089de243446bf65bc0266c9ffd3ee.jpg,0
9,Juice Cup Blender Mini Portable/USB Blender Juicer/Alat Pembuat Jus,3db1b88d38f2dfa75fb0a9166dec4a3d.jpg,Blender Juice CUP Mini Portable,d24fb503916d7732ddae4f390c66456c.jpg,1
10,BATAMGROSIR.ID | PULPEN BTS - BANGTAN BOYS - ARMY - PENA BTS - PENA BTS - PENA BT21 - PULPEN BT21,6b9c11736f576eb5476659e6bd4bb086.jpg,PULPEN KARAKTER BT21 / UNICORN / BANGTAN BOYS - ARMY - PENA BTS,ca869b0a0bf17428d4cb063fcce12cb6.jpg,1
11,AlQuran Mudah Hafal A5,a8e51fa7fc4c56fb54ea2c1db2f6cbbc.jpg,Al Quran AL HUFAZ A5 (biru) Al Quran Hafalan Mudah Terjemah & Tajwid Warna - Cordoba,df8c93f7cf629b6d44d52684e4ec69a1.jpg,0
12,【12.12】Ready Stok / Romper Bayi Laki-laki / Perempuan Lengan Pendek Tulisan Babi Jumper Pakaian Bayi,f411b9c2ba2be59a3f6d674823c9a2ed.jpg,Ready Stok / Romper Bayi Laki-laki / Perempuan Lengan Pendek Tulisan Babi Jumper Pakaian Bayi,7eb82a3ca7aecc7d25b498f36d29bfa9.jpg,0
13,CHANEL BESI / SELEMPANG / BISA COD MIN ORDER 2 / REAL PICTURE,318da16970b6566bcaf70ae4b51ef26d.jpg,DOMPET CHANEL 2 RUANG / BISA COD / REAL PICTURE / SELEMPANG / WANITA / KERANG / TERMUrah / BATAm,7902d4f88cb7df7674f6ed4180597d9b.jpg,0
14,KERIPIK BELING 1/2 KG,46993ae076f00d001f3bcafef852aa73.jpg,[ 1 kg ] Keripik kaca / keripik beling,71791d89f08c8f33c3c5c35c10c3fce3.jpg,0
15,Pompa ASI Real Bubee Double Electric Beast Pump - B10007,f06489803287e7e3da239583e0be0ff4.jpg,Pompa ASI Real Bubee Double Electric Beast Pump ~ su185,327219da8d41af589e10829026b991e0.jpg,1
16,freemir Set Alat Makan Wheat Straw Tableware 4 in 1,14d10c08b8cc366611cda1f3d2fdceee.jpg,ALAT MAKAN WHEAT STRAW TABLEWARE 4 PCS,ec7469f7c56e3ba8f5e55b3bc0a3621f.jpg,1
17,KAOS RINGER TEE L POLOS / BAHAN TEBAL / ASLI SPANDEX SOFT / KAOS WANITA TERLARIS / TSHIRT,603e4e68578e1cb8affd41bced8b90b0.jpg,ZAYA - KAOS RINGER TEE POLOS,dfe5a4b3586e5fb2d49f2803e1d1e364.jpg,1
18,YIYI Bra Fashion Wanita Bra Wanita Murah BH Busa Tipis Tanpa Kawat Push Up Bra REAL PIC,a851b60f5be3eaaf554fa49b4d4e206c.jpg,YIYI Bra Fashion Wanita Bra Wanita Murah BH Busa Tipis Tanpa Kawat Push Up Bra REAL PIC,8c7e425af8a0a37190aebbf10feff43d.jpg,0
19,PROMO: PROFELIN Kaleng bisa utk JUNIOR & ADULT 400gr,b1c61c1af8101369af1a8bdcf5a55dd3.jpg,Big Promo Profelin Wet Food Kaleng 400 Gram for Kitten & Adult (All Stages) ....,a169d5206d737e84b48825e0f4bbf81a.jpg,1
20,Kasur Kelambu Bayi Set Bantal Guling PREMIUM / Kasur Lipat Kelambu Bayi / Kasur Kelambu /Kasur Bayi,687e77d926a37adb94b0f36fc64e3c49.jpg,Kasur Kelambu Bayi Set Bantal Guling PREMIUM / Kasur Lipat Kelambu Bayi / Kasur Kelambu /Kasur Bayi,41ec97020afa3540a3af6db70f59652a.jpg,1
21,4WD RC Rock Crawler Remote Control OFFROAD 1:16 RC Truck Crawler RC,93f3f1b67014476913110cd78d7a0fc7.jpg,RC Mobil Mainan Rock Crawler 1:16 Off Road 2.4GHz 4WD - Mobil Remot Kontrol,7b0f051193e3a2512f0fa06509cb5404.jpg,0
22,【dudubaba】Piyama Set Baju Atasan Blus Lengan Panjang Gambar Binatang+Celana untuk Bayi Laki-laki,a1350975a3d34c80299551d784faaec6.jpg,Setelan Piyama Lengan Panjang Motif Print Kartun Hewan + Celana untuk Bayi 0-6 Tahun,f2896cda14cec36208c3f46cd92ce577.jpg,1
23,Fygalery PROMO Tumblr Light Lampu tumblr lampu natal lampu led lampu hias ricelamp 10 Meter,f1fb0f107806ed8aff34e63f7f92bca0.jpg,PROMO Tumblr 10 Meter 100 led Light Lampu tumblr lampu natal lampu led lampu hias ricelamp Padang,08693c65d263f8fc522c567cce0011d2.jpg,0
24,[Original Murah] Bolt Repack 1 kg / Makanan Kucing / Cat Food,3a8f99e8f20c067348424af86502ee21.jpg,[Original] Bolt Repack 500 gr / Makanan Kucing / Cat Food,3a8f99e8f20c067348424af86502ee21.jpg,1
25,Tas Organizer Kosmetik / Makeup / Alat Mandi Bahan PVC untuk Travel,eb2051f2f67b5fa308fd6f1d83111a7d.jpg,[Bayar Di Tempat]Tempat Pensil Model Korea Motif Kartun Transparan untuk Pelajar,162fb985a81a82894377cf38142dbd47.jpg,1
26,KARDIGAN SELLY,cf861ddbc4cc1e7773de545115094c46.jpg,Buruan Serbu Outer Wanita Cardigan Murah / Vest / Cardygan / Cardy - Putih,ed2656fb079261c176be80ed4eb1a647.jpg,1
27,Vaseline Lotion Healthy White Uv Lightening 400Ml Twin Pack,ff80d3908b0879c9f56004f1c2e23eb4.jpg,VASELINE Healthy White UV Lightening Lotion 400ml,0a8d9bcf5875488da6307203e5477487.jpg,0
28,Headset Samsung Original Cabutan J1 J2 J3 J1 Ace J5 J7 2015 2016 2017 Handfree Earphone Support Mic,290411c43f17c681a552d5eac05b2b9f.jpg,Handset samsung HS330,b969bf735c7cc2cd8d71c879f5a2fb95.jpg,1
29,S-26 Procal Gold Tahap 3 Vanila Susu Pertumbuhan Anak Usia 1-3 Tahun Kaleng 1600Gr,60ba9e60f18bae7cdfcef3d4e86b647f.jpg,S-26 Procal Tahap 3 Vanila Susu Pertumbuhan Anak Usia 1-3 Tahun Kotak 700Gr,d77969608a181a84925664cd712bb50a.jpg,0
