TeamId,TeamName,SubmissionDate,Score
5868302,"Adipta Martulandi","2020-11-24 07:35:34",0.94884
5868307,"Serikat Karyawan","2020-11-28 03:19:57",0.69696
5868315,Kundalini,"2020-11-27 06:32:26",0.59595
5868327,J4V4,"2020-11-25 02:17:06",1.00000
5868339,Hala2,"2020-11-26 01:20:58",0.94666
5868365,"Pesimis Positif","2020-11-27 13:23:47",0.79797
5868380,FIT,"2020-11-27 07:01:20",1.00000
5868394,SurabayaMaung,"2020-11-26 20:54:35",0.94884
5868422,"tepen eclair","2020-11-27 06:29:50",0.79797
5868456,Freedom,"2020-11-26 16:01:19",0.74937
5868491,GrowingTaiba,"2020-11-23 07:58:43",0.74937
5868509,Nony,"2020-11-27 10:41:30",0.62666
5868512,"Fisbum 2012","2020-11-26 05:31:40",0.94666
5868515,"Rerum Novarum","2020-11-27 15:56:12",0.94666
5868575,"Industri Hiburan","2020-11-28 01:28:00",0.84962
5868593,"Datascience is Cute kitten","2020-11-27 16:41:29",0.83999
5868609,bawangputih,"2020-11-25 12:41:42",0.54887
5868655,[Deleted],"2020-11-26 02:32:39",1.00000
5868702,Queries,"2020-11-27 15:41:04",0.41333
5868738,Senandika,"2020-11-25 09:26:58",0.70000
5868813,DinoZelhe,"2020-11-22 05:25:02",0.89898
5869220,"Semoga Diterima Shopee","2020-11-22 07:36:19",0.89583
5870158,ARIF,"2020-11-26 08:28:59",0.89583
5870277,DOVE,"2020-11-27 08:04:55",0.53964
5870306,KarbangJaya,"2020-11-25 07:24:21",1.00000
5870379,"Don't mention us","2020-11-28 02:49:47",0.84962
5870426,"Choerul Afifanto","2020-11-28 02:47:39",0.80000
5870463,RH,"2020-11-27 09:52:35",0.45054
5870488,"Prefrontal Cortex","2020-11-28 03:22:33",1.00000
5870512,"gold digger","2020-11-27 17:58:16",1.00000
5870518,[Deleted],"2020-11-24 09:43:12",1.00000
5870648,Eightfinity,"2020-11-23 05:02:19",0.89010
5870754,AkuariumRudis,"2020-11-27 13:29:42",0.94666
5870863,Lobaloba,"2020-11-23 14:22:22",1.00000
5871078,Maldini,"2020-11-26 18:11:22",0.73333
5871315,BDG26,"2020-11-25 13:05:28",0.79166
5871697,exMIPA,"2020-11-24 04:17:36",0.74424
5871805,"Achmad Fauzi B Firmansyah","2020-11-26 10:30:20",0.84654
5872723,HiyaHiya,"2020-11-27 20:13:51",1.00000
5872977,"Tatag Team","2020-11-27 08:12:22",0.89010
5874583,"Delft Juara","2020-11-28 03:31:08",0.83999
5874622,"Gelora Sigma","2020-11-27 18:47:13",0.89583
5875003,Hiku,"2020-11-27 02:34:29",1.00000
5875041,"Jam's team","2020-11-26 15:35:51",0.89010
5875180,MOTIFASI,"2020-11-27 13:53:05",0.71509
5875192,FraudAja,"2020-11-26 19:53:23",0.94884
5875281,"Qee DS","2020-11-27 15:46:58",0.74937
5875396,Anomaly,"2020-11-28 02:52:49",0.76190
5875559,"Category for Life","2020-11-25 01:21:15",0.94666
5875824,pencarikerja,"2020-11-28 03:31:33",0.49820
5875959,Chares,"2020-11-25 06:35:46",0.37499
5876276,AImagine,"2020-11-26 15:07:36",0.79166
5876310,"Tim Korting","2020-11-27 15:00:13",0.89010
5876356,ArpoBot,"2020-11-26 16:45:44",0.94884
5876586,"import tensorflow as pytorch","2020-11-26 17:34:38",0.89583
5876708,"Bekas Petani","2020-11-27 16:24:03",0.54887
