"id","longitude","latitude","lat","long","address","neighborhood","city","metro_area","subregion","region","postal"
43,107.03401317307,-6.23632851498169,-6.23632851498169,107.03401317307,"My House, Jalan Mesiu 4, Bekasi Timur, Jawa Barat, 17111, IDN","Aren Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17111"
65,107.041296040667,-6.24337339438262,-6.24337339438262,107.041296040667,"Jalan Pulau Saparua 4 313, Bekasi Timur, Jawa Barat, 17111, IDN","Aren Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17111"
171,107.039808776363,-6.24103686893185,-6.24103686893185,107.039808776363,"Nagihh Toast, Jalan Pulau Yapen 3 58, Bekasi Timur, Jawa Barat, 17111, IDN","Aren Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17111"
457,107.035431562152,-6.23698173690959,-6.23698173690959,107.035431562152,"Praktek Dokter Hewan Drh. Ira Madani, Jalan Panataran 2, Bekasi Timur, Jawa Barat, 17111, IDN","Aren Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17111"
462,107.033616575134,-6.24586955702502,-6.24586955702502,107.033616575134,"Lapangan Volly Rt 07, Jalan Pulau Sumba 6 275, Bekasi Timur, Jawa Barat, 17111, IDN","Aren Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17111"
740,107.032692493478,-6.24703545394508,-6.24703545394508,107.032692493478,"Millagros, Jalan Manunggal, Bekasi Timur, Jawa Barat, 17111, IDN","Aren Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17111"
2,107.026869499612,-6.18712104481283,-6.18712104481283,107.026869499612,"Bahagia, Babelan, Jawa Barat, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat",""
52,107.020146180951,-6.18608581175792,-6.18608581175792,107.020146180951,"Mushola Al-Barkah 2, Jalan Kyai Haji Noer Ali, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
89,107.016854558932,-6.1959557093666,-6.1959557093666,107.016854558932,"Banananesia Korean Milk, Jalan Harapan Makmur 3, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
113,107.010154646591,-6.18929616407433,-6.18929616407433,107.010154646591,"Suzuki, Jalan Ujung Harapan, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
180,107.020392265572,-6.19227495531542,-6.19227495531542,107.020392265572,"Jalan Kyai Haji Noer Ali, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
262,107.019929075057,-6.18238620868561,-6.18238620868561,107.019929075057,"Jalan Kyai Haji Noer Ali, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
372,107.014215395063,-6.18237106381918,-6.18237106381918,107.014215395063,"Sedotmen, Perumahan Taman Wisata 2, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
391,107.014651562178,-6.18618431590655,-6.18618431590655,107.014651562178,"Perumahan Taman Duta, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
416,107.012218376993,-6.18424975565386,-6.18424975565386,107.012218376993,"La Mada Car Wash, Perumahan Taman Duta 48, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
441,107.017365206843,-6.19023595661415,-6.19023595661415,107.017365206843,"Jalan Ujung Harapan, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
488,107.025550672353,-6.18534251920413,-6.18534251920413,107.025550672353,"Jalan Sunan Giri 7, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
