FID,geom,OBJECTID,NAMOBJ,FCODE,REMARK,METADATA,SRS_ID,JPLYRS,RSALAMAT,WADMKK,TELEPON,TIPRST
RUMAHSAKIT_PT_50K_2023_JAWABARAT.1,POINT (-6.375642108999955 106.91837670000007),1201,RS Umum Mitra Keluarga Cibubur,GI01050100,Perusahaan,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Alternatif Transyogi, Cibubur",Kota Bekasi,021-84311777,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.2,POINT (-6.688008585999967 106.93955270000004),1202,RS Paru Dr. M. Goenawan Partowidigdo,GI01050100,Kementerian Kesehatan,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Puncak KM.83, Po Box 28 Cisarua Bogor 16750",Bogor,0251-8253630,A
RUMAHSAKIT_PT_50K_2023_JAWABARAT.3,POINT (-6.396423931999948 106.80621100000008),1203,RS Umum Bhakti Yudha,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Sawangan No. 2A Depok,Kota Depok,021-7520082,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.4,POINT (-6.472932406999973 106.83055660000008),1204,RS Umum Daerah Cibinong,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,JL. KSR Dadi Kusmayadi No. 27 Cibinong Bogor,Bogor,021-8753487,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.5,POINT (-6.659874570999932 106.85307460000007),1205,RS Umum Daerah Ciawi,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Puncak 479 Ciawi Bogor,Bogor,0251-8240797,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.6,POINT (-6.355746174999979 106.86033500000008),1206,RS Umum Tugu Ibu,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Bogor Km 29 Cimanggis - Depok,Kota Depok,021 8710870,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.7,POINT (-6.321095629999945 106.78268400000007),1207,RS Umum Puri Cinere,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Maribaya No.1 Puri Cinere,Depok",Kota Depok,021-7545488,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.8,POINT (-6.472423136999964 106.86363600000004),1208,RS Umum Bina Husada,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Mayor Oking Jaya Atmaja KM1 No.101 Cibinong - Bogor,Bogor,021-87911000,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.9,POINT (-6.398677138999972 106.82526770000004),1209,RS Umum Hermina Depok,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Siliwangi No. 50 Pancoran Mas Depok,Kota Depok,021-77202525,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.10,POINT (-6.44340929599997 106.73300420000004),1210,RS Ibu dan Anak Citra Insani,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Parung No.242 Lebakwangi, Pemagarsari - Bogor",Bogor,0251-8611507,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.11,POINT (-6.374121298999967 106.86321040000007),1211,RS Ibu dan Anak Tumbuh Kembang,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Bogor Km.31 No.23 Cimanggis Kota Depok,Kota Depok,(021)8701873/74,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.12,POINT (-6.398834032999957 106.96941360000005),1212,RS Umum Mary Cileungsi Hijau,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Narogong Km 21 Cileungsi Bogor,Bogor,021 - 8249 2222,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.13,POINT (-6.376022807999959 106.90188990000007),1213,RS Umum Meilia,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Alternatif Cibubur KM. 1, Kel. Harjamukti, Cimanggis, Kota Depok",Kota Depok,021 - 8444444,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.14,POINT (-6.364548587999934 106.83456910000007),1214,RS Umum Bunda Margonda,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Margonda Raya No.28 RT002 RW003 Kelurahan Pondok Cina Kecamatan Beji , Depok - Jawa Barat",Kota Depok,2178890551,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.15,POINT (-6.374916394999957 106.97090120000007),1215,RS Umum MH. Thamrin,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Narogong Km.16, Limus Nunggal Cileungsi, Bogor",Bogor,021-8235052,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.16,POINT (-6.558204830999955 106.79195120000009),1216,RS Umum Islam Bogor,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Perdana Raya No.22, Tanah Sareal, Bogor Utara Kota Bogor",Kota Bogor,0251-8316822,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.17,POINT (-6.894407040999965 106.79316950000003),1217,RS Umum Daerah Sekarwangi,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Siliwangi No. 49 Cibadak Sukabumi,Sukabumi,0266-531261,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.18,POINT (-6.988039158999925 106.55752840000008),1218,RS Umum Daerah Palabuhanratu,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Ahmad Yani No.2 Palabuhanratu,Sukabumi,0266-432081,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.19,POINT (-7.252591849999931 106.62518140000009),1219,RS Umum Daerah Jampang Kulon,GI01050100,Pemerintah Provinsi,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Cibarusah No.1 Jampang Kulon, Kab.Sukabumi",Sukabumi,0266-490009,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.20,POINT (-6.917385635999949 106.96149670000005),1220,RS Umum Hermina Sukabumi,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Sukaraja, Kabupaten Sukabumi",Sukabumi,-6246259,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.21,POINT (-6.809755313999972 107.14134190000004),1221,RS Umum Daerah Sayang,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Rumah Sakit No.1 Cianjur,Cianjur,0263-261026,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.22,POINT (-6.720057468999926 107.03238430000005),1222,RS Umum Daerah Cimacan,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Cimacan No.17, Cianjur",Cianjur,0263-512465,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.23,POINT (-7.048487712999929 107.77219760000008),1223,RS Umum Daerah Majalaya,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Cipaku No.87 Majalaya Kabupaten Bandung,Bandung,022-5950035,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.24,POINT (-6.878671532999931 107.55113670000009),1224,RS Umum Daerah Cibabat,GI01050100,Pemerintah Kota,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Jend. H. Amir Machmud No. 140 Kel. Cibabat Kec. Cimahi Utara,Kota Cimahi,(022) 6652025,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.25,POINT (-6.88566515399998 107.53483250000005),1225,RS Umum Tk. II Dustira,GI01050100,TNI AD,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. dr. Dustira No.1 Kel. Baros Kec. Cimahi Tengah,Kota Cimahi,022-6652207,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.26,POINT (-6.809301064999943 107.56415880000009),1226,RS Jiwa Provinsi Jawa Barat,GI01050100,Pemerintah Provinsi,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat,Bandung Barat,022-2700260,A
RUMAHSAKIT_PT_50K_2023_JAWABARAT.27,POINT (-6.884015121999937 107.55281890000003),1227,RS Umum Mitra Kasih,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Jend.Amir Machmud No.341 Kel. Cigugur Tengah Kec. Cimahi Tengah Kota Cimahi,Kota Cimahi,022-6654852,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.28,POINT (-7.007995948999962 107.62298270000008),1228,RS Umum Daerah Al Ihsan Provinsi Jawa Barat,GI01050100,Pemerintah Provinsi,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Ki Astramanggala Bale Endah Kab. Bandung,Bandung,022-5940872,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.29,POINT (-7.027555129999939 107.54350170000004),1229,RS Umum Daerah Oto Iskandar Di Nata,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Gading Tutuka, Kp. Cingcin Kolot, RT 01 RW 17, Desa Cingcin, Kec. Soreang, Kab. Bandung, Provinsi Jawa Barat",Bandung,022-5891355,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.30,POINT (-6.981693894999978 107.84248220000006),1230,RS Umum Daerah Cicalengka,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. H. Darham No.35 - Cikopo, Cicalengka Kab. Bandung",Bandung,227952203,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.31,POINT (-7.21939217399995 107.89712240000006),1231,RS Umum Daerah dr. Slamet Garut,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Rumah Sakit No.12 Garut,Garut,0262-232720,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.32,POINT (-7.224512334999929 107.91095790000008),1232,RS Umum Tk. IV Guntur,GI01050100,TNI AD,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Bratayuda 101 Garut,Garut,(0262)232325,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.33,POINT (-7.3318128769999475 108.22504090000007),1233,RS Umum Daerah dr. Soekardjo,GI01050100,Pemerintah Kota,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Rumah Sakit 33 Tasikmalaya,Kota Tasikmalaya,(0265) 331683,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.34,POINT (-7.378759293999963 108.23277060000004),1234,RS Umum Islam Hj. Siti Muniroh,GI01050100,Organisasi Islam,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Tamansari Gobras No.228 Kota Tasikmalaya,Kota Tasikmalaya,0265-323868,D
RUMAHSAKIT_PT_50K_2023_JAWABARAT.35,POINT (-7.326018909999959 108.22276660000006),1235,RS Umum Jasa Kartini,GI01050100,Perusahaan,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Otto Iskandar Dinata No 15,Kota Tasikmalaya,0265 331808,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.36,POINT (-7.305116816999941 108.20513120000004),1236,RS Umum Prasetya Bunda,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Ir. H. Juanda No.1 RT03/RW03, Kelurahan Panyingkiran, Kecamatan Indihiang, Kota Tasikmalaya, Provinsi Jawa Barat, 46411",Kota Tasikmalaya,265344477,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.37,POINT (-7.334343171999933 108.35938990000005),1237,RS Umum Daerah Kab. Ciamis,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Rumah Sakit No.76 Ciamis,Ciamis,0265-772118,C
