nama,user_rating,rating,original_rating,user_count,bayesian_rating,confidence_category,is_reliable,rating_difference
369 Shanghai Dumpling & Noodle,1068,4.6,4.6,1068,4.572358052267143,Sangat tinggi,TRUE,-0.027641947732856664
ABADI Bakmi & Kopi - Embong Tanjung,631,4.9,4.9,631,4.758807782767661,Sangat tinggi,TRUE,-0.141192217232339
Aiola Eatery - Slamet,10112,4.5,4.5,10112,4.499386166660658,Sangat tinggi,TRUE,-6.138333393419515e-4
Angkringan Moro Seneng,33,4.5,4.5,33,4.481834886583436,Sangat rendah,TRUE,-0.018165113416563905
Ayam Bakar Wong Solo - Walikota Mustajab,3517,4.3,4.3,3517,4.314986784183673,Sangat tinggi,TRUE,0.014986784183673052
Ayam Kremes & Soto Suroboyo,1943,4.7,4.7,1943,4.668926761335099,Sangat tinggi,TRUE,-0.031073238664901304
BAKSO & BAKMI ASIA BANGSA,1217.5,4.5,4.5,1217.5,4.495833960651049,Sangat tinggi,TRUE,-0.0041660393489513226
Babeh St,1516,4.2,4.2,1516,4.248731570428037,Sangat tinggi,TRUE,0.04873157042803644
Bak cang depot 63,82,4.6,4.6,82,4.504475211757563,Rendah,TRUE,-0.09552478824243682
Bakmi Bintang Palu,906,4.8,4.8,906,4.716562054280425,Sangat tinggi,TRUE,-0.08343794571957464
Bakmi Frapatan - Pasar Pucang Anom,32,4.8,4.8,32,4.50909472978851,Sangat rendah,TRUE,-0.29090527021149004
Bakmi Gili Restaurant,401,4.3,4.3,401,4.379801245691411,Sangat tinggi,TRUE,0.079801245691411
Bakmi Jawa Jogja Mas No Spesialis Ayam Kampung,80,4.9,4.9,80,4.564072083906536,Rendah,TRUE,-0.33592791609346406
Bakmi Lanka - Tunjungan,519.5,4.3,4.3,519.5,4.368530151991253,Sangat tinggi,TRUE,0.06853015199125334
Bakmi MakYus - Ngagel Jaya Utara,601,4.5,4.5,601,4.493043777860577,Sangat tinggi,TRUE,-0.006956222139423041
Bakmie,441,4.2,4.2,441,4.317615775832559,Sangat tinggi,TRUE,0.11761577583255889
Bakmie Papi - Tunjungan,88,4.5,4.5,88,4.484286619682605,Rendah,TRUE,-0.01571338031739522
Bakmie Sapi Fengkolan Pusat,176,3,3,176,3.954282134249569,Tinggi,TRUE,0.9542821342495689
Bakso & Pangsit Mojopahit,278,4.7,4.7,278,4.582337736436254,Sangat tinggi,TRUE,-0.1176622635637461
Bakso Balballan,427,4.1,4.1,427,4.262621296075903,Sangat tinggi,TRUE,0.16262129607590303
Bakso Bintang Lima (Bakso Kuah Mercon),484,3.8,3.8,484,4.070375603634924,Sangat tinggi,TRUE,0.27037560363492386
Bakso Bonnet,2481,4.5,4.5,2481,4.49771355026626,Sangat tinggi,TRUE,-0.002286449733739815
Bakso Bratang,359,4.4,4.4,359,4.437651875491027,Sangat tinggi,TRUE,0.037651875491026665
Bakso Cak Mus Airlangga,33,4.7,4.7,33,4.500558290838756,Sangat rendah,TRUE,-0.1994417091612446
Bakso Cak Nur 1,694,4.3,4.3,694,4.356730929966118,Sangat tinggi,TRUE,0.05673092996611828
Bakso Daging Sapi P.Sabar,834.5,4.6,4.6,834.5,4.566764989186015,Sangat tinggi,TRUE,-0.03323501081398472
Bakso Depan Bonet,1395,4.5,4.5,1395,4.496265265395545,Sangat tinggi,TRUE,-0.00373473460445517
"Bakso Hana ""Cak Aji""",113,4.3,4.3,113,4.432940572302107,Sedang,TRUE,0.13294057230210754
Bakso Jagalan 87,982,4.2,4.2,982,4.26872592971238,Sangat tinggi,TRUE,0.06872592971237967
Bakso Jalil,529,4.4,4.4,529,4.430108188003137,Sangat tinggi,TRUE,0.03010818800313686
Bakso Mas Ari Asli Solo,134,4.2,4.2,134,4.397236598722517,Sedang,TRUE,0.1972365987225171
Bakso Pak Pek,189,4.5,4.5,189,4.48740766474073,Tinggi,TRUE,-0.012592335259269838
Bakso Pak Sabar,1687,4.6,4.6,1687,4.580885520817673,Sangat tinggi,TRUE,-0.019114479182326782
Bakso Prasmanan (Cak Dar),197,4.6,4.6,197,4.525744041666333,Tinggi,TRUE,-0.0742559583336666
Bakso Putra Wilis AG,277,4.3,4.3,277,4.396390272457102,Sangat tinggi,TRUE,0.09639027245710174
Bakso Sama Rasa,43,4.2,4.2,43,4.446749786263893,Sangat rendah,TRUE,0.24674978626389255
Bakso Sama Rasa,43,4.2,4.2,43,4.446749786263893,Sangat rendah,TRUE,0.24674978626389255
Bakso Setia 22,66,4.2,4.2,66,4.432028009132714,Rendah,TRUE,0.23202800913271382
Bakso Solo Dan Es Campur Pak Sabar,378,4.7,4.7,378,4.599206878165823,Sangat tinggi,TRUE,-0.10079312183417688
Bakso Solo Pak Jan,389,4.6,4.6,389,4.545867039549274,Sangat tinggi,TRUE,-0.05413296045072524
Bakso Solo Samrat Manyar Kertoarjo,818,3.8,3.8,818,3.990986195622559,Sangat tinggi,TRUE,0.19098619562255914
Bakso Solo “Pak Jan”,1239,4.5,4.5,1239,4.495891432480373,Sangat tinggi,TRUE,-0.004108567519627293
Bakso Tetel Sapi Pak No,462,4.5,4.5,462,4.49180652273917,Sangat tinggi,TRUE,-0.008193477260830306
Bakso Tetelan Pak Kam,1711,4.3,4.3,1711,4.328316571051791,Sangat tinggi,TRUE,0.028316571051790973
Bakso Unyil Joss,886,4.6,4.6,886,4.568184817520249,Sangat tinggi,TRUE,-0.03181518247975035
Bakso geranat,47,4.3,4.3,47,4.456880757218721,Sangat rendah,TRUE,0.15688075721872075
"Bakso, Pangsit, Mie Ayam Ning Ati",82,4.5,4.5,82,4.4840517995533284,Rendah,TRUE,-0.015948200446671557
Bakwan Babi Kohar @ Pujasera Terrasse,101,4.9,4.9,101,4.58084850777803,Sedang,TRUE,-0.3191514922219705
Bakwan Dempo 19 Manyar Kertoarjo,208,4.4,4.4,208,4.448429947906466,Sangat tinggi,TRUE,0.04842994790646582
Bakwan Kapasari (Non Halal),1008,4.3,4.3,1008,4.343312088527805,Sangat tinggi,TRUE,0.04331208852780488
Bakwan Pabean,319,4.6,4.6,319,4.539932337542147,Sangat tinggi,TRUE,-0.06006766245785222
Bakwan Pak Nur Trunojoyo,665,4.7,4.7,665,4.628589941615704,Sangat tinggi,TRUE,-0.07141005838429582
Bakwan Sari Murni Kalidami,420,4.4,4.4,420,4.434546041272023,Sangat tinggi,TRUE,0.034546041272022876
Bakwan Tennis Cak Cekrek,181,4,4,181,4.306387207833489,Tinggi,TRUE,0.30638720783348905
Bondhet Sego Kucing,164,4.6,4.6,164,4.520675899732495,Tinggi,TRUE,-0.07932410026750425
"Bubur Ayam cabang Kranggan, kalisari",181,4.5,4.5,181,4.48720638865267,Tinggi,TRUE,-0.01279361134733037
