Entity,Year,Emigrants from Indonesia: Where did they move to?
Africa,1990,7183
Africa,1995,10432
Africa,2000,13918
Africa,2005,15013
Africa,2010,16509
Africa,2015,15170
Africa,2020,19581
Africa,2024,20058
Algeria,1990,1000
Algeria,1995,1223
Algeria,2000,1446
Algeria,2005,1143
Algeria,2010,1255
Algeria,2015,1363
Algeria,2020,1416
Algeria,2024,1467
Asia,1990,1048452
Asia,1995,1401843
Asia,2000,1863100
Asia,2005,2140201
Asia,2010,2760082
Asia,2015,3003694
Asia,2020,3170504
Asia,2024,3464183
Australia,1990,41797
Australia,1995,47200
Australia,2000,56595
Australia,2005,60318
Australia,2010,71090
Australia,2015,76976
Australia,2020,93414
Australia,2024,104566
Bahamas,1990,8
Bahamas,1995,7
Bahamas,2000,6
Bahamas,2005,18
Bahamas,2010,30
Bahamas,2015,33
Bahamas,2020,34
Bahamas,2024,36
Bahrain,1990,6285
Bahrain,1995,7931
Bahrain,2000,9135
Bahrain,2005,14255
Bahrain,2010,23008
Bahrain,2015,25817
Bahrain,2020,28122
Bahrain,2024,30062
Bangladesh,1990,70627
Bangladesh,1995,84052
Bangladesh,2000,97476
Bangladesh,2005,123383
Bangladesh,2010,143647
Bangladesh,2015,152862
Bangladesh,2020,149901
Bangladesh,2024,205947
Belgium,1990,2291
Belgium,1995,2508
Belgium,2000,2747
Belgium,2005,3008
Belgium,2010,3270
Belgium,2015,3358
Belgium,2020,3591
Belgium,2024,3816
Bolivia,1990,12
Bolivia,1995,14
Bolivia,2000,15
Bolivia,2005,12
Bolivia,2010,9
Bolivia,2015,11
Bolivia,2020,10
Bolivia,2024,11
Brazil,1990,5
Brazil,1995,884
Brazil,2000,722
Brazil,2005,785
Brazil,2010,716
Brazil,2015,767
Brazil,2020,814
Brazil,2024,847
Brunei,1990,3324
Brunei,1995,4551
Brunei,2000,5778
Brunei,2005,5907
Brunei,2010,6036
Brunei,2015,6165
Brunei,2020,6717
Brunei,2024,7195
Bulgaria,1990,1
Bulgaria,1995,6
Bulgaria,2000,11
Bulgaria,2005,17
Bulgaria,2010,22
Bulgaria,2015,38
Bulgaria,2020,63
Bulgaria,2024,87
Cambodia,1990,49
Cambodia,1995,129
Cambodia,2000,208
Cambodia,2005,162
Cambodia,2010,116
Cambodia,2015,105
Cambodia,2020,111
Cambodia,2024,117
Canada,1990,7426
Canada,1995,8286
Canada,2000,9197
Canada,2005,11931
Canada,2010,14446
Canada,2015,15781
Canada,2020,16012
Canada,2024,16815
Central America (UN),1990,136
Central America (UN),1995,165
Central America (UN),2000,208
Central America (UN),2005,241
Central America (UN),2010,320
Central America (UN),2015,360
Central America (UN),2020,410
Central America (UN),2024,524
Central and Southern Asia (UN),1990,72907
Central and Southern Asia (UN),1995,85902
Central and Southern Asia (UN),2000,99003
Central and Southern Asia (UN),2005,124922
Central and Southern Asia (UN),2010,145323
Central and Southern Asia (UN),2015,154474
Central and Southern Asia (UN),2020,151428
Central and Southern Asia (UN),2024,207434
China,1990,3433
China,1995,4030
China,2000,4796
China,2005,5709
China,2010,6690
China,2015,4909
China,2020,3466
China,2024,3725
Costa Rica,1990,13
Costa Rica,1995,10
Costa Rica,2000,13
Costa Rica,2005,10
Costa Rica,2010,18
Costa Rica,2015,17
Costa Rica,2020,20
Costa Rica,2024,24
Croatia,1990,0
Croatia,1995,0
Croatia,2000,0
Croatia,2005,14
Croatia,2010,27
Croatia,2015,27
Croatia,2020,23
Croatia,2024,22
Curacao,1990,187
Curacao,1995,187
Curacao,2000,187
Curacao,2005,187
Curacao,2010,169
Curacao,2015,182
Curacao,2020,211
Curacao,2024,295
Cyprus,1990,43
Cyprus,1995,61
Cyprus,2000,79
Cyprus,2005,118
Cyprus,2010,181
Cyprus,2015,165
Cyprus,2020,169
Cyprus,2024,179
Denmark,1990,463
Denmark,1995,501
Denmark,2000,616
Denmark,2005,892
Denmark,2010,1064
Denmark,2015,1161
Denmark,2020,1296
Denmark,2024,1546
East Timor,1990,4485
East Timor,1995,4893
East Timor,2000,5337
East Timor,2005,5666
East Timor,2010,5779
East Timor,2015,4177
East Timor,2020,4113
East Timor,2024,4066
Eastern Africa (UN),1990,2
Eastern Africa (UN),1995,114
Eastern Africa (UN),2000,226
Eastern Africa (UN),2005,176
Eastern Africa (UN),2010,126
Eastern Africa (UN),2015,141
Eastern Africa (UN),2020,143
Eastern Africa (UN),2024,145
Eastern Asia (UN),1990,98786
Eastern Asia (UN),1995,145979
Eastern Asia (UN),2000,209275
Eastern Asia (UN),2005,209000
Eastern Asia (UN),2010,319720
Eastern Asia (UN),2015,449346
Eastern Asia (UN),2020,523620
Eastern Asia (UN),2024,628419
Eastern Europe (UN),1990,192
Eastern Europe (UN),1995,182
Eastern Europe (UN),2000,175
Eastern Europe (UN),2005,218
Eastern Europe (UN),2010,261
Eastern Europe (UN),2015,284
Eastern Europe (UN),2020,680
Eastern Europe (UN),2024,810
Eastern and South-Eastern Asia (UN),1990,512886
Eastern and South-Eastern Asia (UN),1995,824315
Eastern and South-Eastern Asia (UN),2000,1155526
Eastern and South-Eastern Asia (UN),2005,1441218
Eastern and South-Eastern Asia (UN),2010,2023921
Eastern and South-Eastern Asia (UN),2015,2240127
Eastern and South-Eastern Asia (UN),2020,2397076
Eastern and South-Eastern Asia (UN),2024,2581736
Egypt,1990,1031
Egypt,1995,1372
Egypt,2000,1833
Egypt,2005,2372
Egypt,2010,2822
Egypt,2015,0
Egypt,2020,3447
Egypt,2024,3074
Estonia,1990,0
Estonia,1995,0
Estonia,2000,0
Estonia,2005,0
Estonia,2010,6
Estonia,2015,12
Estonia,2020,40
Estonia,2024,41
Europe,1990,192821
Europe,1995,184061
Europe,2000,172789
Europe,2005,162110
Europe,2010,148782
Europe,2015,135937
Europe,2020,123895
