Category: All categories

Time,ramadhan: (Indonesia),puasa: (Indonesia)
2023-03-17T09,2,2
2023-03-17T10,2,2
2023-03-17T11,2,3
2023-03-17T12,2,3
2023-03-17T13,2,3
2023-03-17T14,2,3
2023-03-17T15,2,3
2023-03-17T16,2,3
2023-03-17T17,2,3
2023-03-17T18,2,3
2023-03-17T19,2,3
2023-03-17T20,2,3
2023-03-17T21,2,2
2023-03-17T22,1,2
2023-03-17T23,1,2
2023-03-18T00,1,2
2023-03-18T01,1,2
2023-03-18T02,1,2
2023-03-18T03,3,5
2023-03-18T04,3,6
2023-03-18T05,2,4
2023-03-18T06,2,3
2023-03-18T07,2,3
2023-03-18T08,2,3
2023-03-18T09,2,3
2023-03-18T10,2,3
2023-03-18T11,2,3
2023-03-18T12,2,3
2023-03-18T13,2,3
2023-03-18T14,2,3
2023-03-18T15,2,3
2023-03-18T16,2,3
2023-03-18T17,2,3
2023-03-18T18,2,3
2023-03-18T19,2,3
2023-03-18T20,2,3
2023-03-18T21,2,2
2023-03-18T22,1,2
2023-03-18T23,1,2
2023-03-19T00,1,2
2023-03-19T01,1,2
2023-03-19T02,1,2
2023-03-19T03,2,5
2023-03-19T04,3,6
2023-03-19T05,3,4
2023-03-19T06,3,4
2023-03-19T07,3,4
2023-03-19T08,3,4
2023-03-19T09,3,4
2023-03-19T10,3,4
2023-03-19T11,3,4
2023-03-19T12,3,4
2023-03-19T13,3,3
2023-03-19T14,3,4
2023-03-19T15,3,4
2023-03-19T16,3,4
2023-03-19T17,3,5
2023-03-19T18,4,5
2023-03-19T19,4,5
2023-03-19T20,3,4
2023-03-19T21,3,4
2023-03-19T22,2,3
2023-03-19T23,2,3
2023-03-20T00,1,3
2023-03-20T01,1,3
2023-03-20T02,2,4
2023-03-20T03,3,10
2023-03-20T04,4,11
2023-03-20T05,4,7
2023-03-20T06,4,7
2023-03-20T07,4,5
2023-03-20T08,4,5
2023-03-20T09,4,5
2023-03-20T10,4,5
2023-03-20T11,4,5
2023-03-20T12,4,5
2023-03-20T13,4,4
2023-03-20T14,4,4
2023-03-20T15,5,5
2023-03-20T16,5,5
2023-03-20T17,6,6
2023-03-20T18,6,6
2023-03-20T19,6,5
2023-03-20T20,5,5
2023-03-20T21,4,4
2023-03-20T22,3,4
2023-03-20T23,2,3
2023-03-21T00,2,4
2023-03-21T01,2,3
2023-03-21T02,2,4
2023-03-21T03,4,8
2023-03-21T04,6,10
2023-03-21T05,6,11
2023-03-21T06,6,11
2023-03-21T07,5,8
2023-03-21T08,5,7
2023-03-21T09,5,7
2023-03-21T10,5,6
2023-03-21T11,4,7
2023-03-21T12,4,7
2023-03-21T13,4,7
2023-03-21T14,4,7
2023-03-21T15,4,8
2023-03-21T16,5,9
2023-03-21T17,6,11
2023-03-21T18,7,13
2023-03-21T19,6,11
2023-03-21T20,6,8
2023-03-21T21,5,8
2023-03-21T22,4,6
2023-03-21T23,3,5
2023-03-22T00,3,6
2023-03-22T01,3,6
2023-03-22T02,3,7
2023-03-22T03,5,11
2023-03-22T04,8,15
2023-03-22T05,11,16
2023-03-22T06,11,15
2023-03-22T07,11,14
2023-03-22T08,10,13
2023-03-22T09,9,11
2023-03-22T10,9,11
2023-03-22T11,9,11
2023-03-22T12,9,11
2023-03-22T13,10,11
2023-03-22T14,11,13
2023-03-22T15,17,22
2023-03-22T16,24,30
2023-03-22T17,32,39
2023-03-22T18,32,43
2023-03-22T19,25,29
2023-03-22T20,19,21
2023-03-22T21,16,19
2023-03-22T22,14,18
2023-03-22T23,11,16
2023-03-23T00,10,16
2023-03-23T01,13,21
2023-03-23T02,40,68
2023-03-23T03,56,100
2023-03-23T04,47,84
2023-03-23T05,17,29
2023-03-23T06,9,21
2023-03-23T07,8,18
2023-03-23T08,7,16
2023-03-23T09,6,16
2023-03-23T10,6,15
2023-03-23T11,5,16
2023-03-23T12,5,16
2023-03-23T13,5,14
2023-03-23T14,4,14
2023-03-23T15,4,19
2023-03-23T16,6,41
2023-03-23T17,10,100
2023-03-23T18,8,60
2023-03-23T19,4,7
2023-03-23T20,4,6
2023-03-23T21,4,5
2023-03-23T22,3,5
2023-03-23T23,3,5
2023-03-24T00,3,5
2023-03-24T01,3,7
2023-03-24T02,11,23
2023-03-24T03,22,46
2023-03-24T04,21,46
2023-03-24T05,6,16
2023-03-24T06,4,11
2023-03-24T07,3,9
2023-03-24T08,3,8
